"h","mean_Q","var_Q","P_Q0","P_third","Stable"
1,3.24537731134433,9.86225987006497,0.154422788605697,0.605,"Unstable"
2,3.98350824587706,12.118227886057,0.0849575212393803,0.54,"Unstable"
3,5.18940529735132,21.7116076961519,0.072463768115942,0.5495,"Unstable"
4,5.49575212393803,19.3261069465267,0.0534732633683158,0.4835,"Unstable"
5,6.89455272363818,24.5163753123438,0.0339830084957521,0.5045,"Unstable"
6,8.34282858570715,22.8014097951024,0.0079960019990005,0.5745,"Unstable"
7,6.6231884057971,12.1889420289855,0.0299850074962519,0.3565,"Unstable"
8,8.34232883558221,13.1322523738131,0.0149925037481259,0.4295,"Unstable"
